method,seed,trial_id,freezing_ratio,learning_rate,dropout_rate,l2_reg,optimizer,batch_size,val_accuracy,test_accuracy,best_epoch,total_epochs,training_time_seconds,timestamp
genetic_algorithm,1,52,0.8,0.001,0.2,0.005,adam,16,0.9442059993743896,0.931034505367279,21,32,67.3,2026-05-28T21:38:57.020888
genetic_algorithm,1,53,0.8,0.001,0.4,0.005,adam,32,0.9527897238731384,0.9568965435028076,28,39,82.2,2026-05-28T21:40:23.419903
genetic_algorithm,1,54,0.8,0.001,0.5,0.005,adamw,16,0.9227467775344849,0.943965494632721,20,31,68.2,2026-05-28T21:41:36.047640
genetic_algorithm,1,55,0.8,0.001,0.3,0.1,adam,16,0.9227467775344849,0.9267241358757019,2,13,48.2,2026-05-28T21:42:29.100616
genetic_algorithm,1,56,0.8,0.0001,0.5,0.005,adam,16,0.9227467775344849,0.9267241358757019,20,31,67.5,2026-05-28T21:43:42.066823
genetic_algorithm,1,57,0.8,0.001,0.3,0.001,adamw,16,0.9270386099815369,0.9267241358757019,18,29,70.5,2026-05-28T21:44:57.932234
genetic_algorithm,1,58,0.8,0.001,0.3,0.02,adam,8,0.9184549450874329,0.9482758641242981,14,25,68.7,2026-05-28T21:46:32.316048
genetic_algorithm,1,59,0.8,0.001,0.2,0.005,adam,32,0.9098712205886841,0.9008620977401733,11,22,67.0,2026-05-28T21:47:42.353839
genetic_algorithm,1,60,0.8,5e-05,0.4,0.005,adam,32,0.8755365014076233,0.8965517282485962,27,38,68.8,2026-05-28T21:48:54.271087
genetic_algorithm,1,61,0.8,0.001,0.2,0.001,adam,16,0.9227467775344849,0.9353448152542114,16,27,68.3,2026-05-28T21:50:05.839718
genetic_algorithm,1,62,0.8,0.001,0.2,0.005,adamw,16,0.9184549450874329,0.9181034564971924,9,20,54.2,2026-05-28T21:51:03.456850
genetic_algorithm,1,63,0.8,0.001,0.3,0.001,adam,32,0.9184549450874329,0.9267241358757019,9,20,50.6,2026-05-28T21:51:57.498629
genetic_algorithm,1,64,0.8,1e-05,0.4,0.005,sgd,32,0.2403433471918106,0.18103447556495667,0,11,39.1,2026-05-28T21:52:40.289621
genetic_algorithm,1,65,0.85,0.001,0.4,0.002,adam,32,0.9313304424285889,0.9051724076271057,3,14,43.3,2026-05-28T21:53:27.226232
genetic_algorithm,1,66,0.95,0.001,0.4,0.1,adam,16,0.9141631126403809,0.9267241358757019,6,17,43.2,2026-05-28T21:54:14.064827
genetic_algorithm,1,67,0.85,0.001,0.4,0.001,adam,32,0.9012875556945801,0.9353448152542114,8,19,48.0,2026-05-28T21:55:05.656342
genetic_algorithm,1,68,0.8,0.0001,0.4,0.005,adam,32,0.9055793881416321,0.9181034564971924,22,33,65.3,2026-05-28T21:56:14.946507
genetic_algorithm,1,69,0.85,0.001,0.4,0.002,adamw,32,0.9227467775344849,0.9267241358757019,5,16,46.5,2026-05-28T21:57:05.792623
genetic_algorithm,1,70,0.8,0.001,0.3,0.1,adam,32,0.9270386099815369,0.9525862336158752,18,29,60.6,2026-05-28T21:58:10.336555
genetic_algorithm,1,71,0.85,0.0001,0.3,0.02,adam,8,0.9270386099815369,0.9525862336158752,18,29,57.0,2026-05-28T21:59:08.969616
genetic_algorithm,1,72,0.8,0.001,0.4,0.001,adam,16,0.9399141669273376,0.9224137663841248,15,26,60.7,2026-05-28T22:00:13.835997
